Engine_Size,Mileage,Doors,Owner_Count,Price
3.8,275109,2,5,10997
2.8,203314,3,3,8633
2.8,190214,5,2,9795
5.0,188195,5,3,12736
2.0,228204,3,4,5535
2.3,66264,2,1,5374
4.5,162696,4,2,13946
2.2,191462,2,4,3970
4.0,8958,5,1,8220
2.6,11213,5,5,11075
3.8,236022,3,2,6079
3.9,13333,5,1,14433
4.6,274137,2,3,12117
3.4,8662,4,3,10326
2.3,99243,3,3,11815
3.5,167809,2,3,9143
3.0,180938,4,3,9881
4.0,66347,3,2,12173
1.4,279031,5,3,2019
2.8,63430,4,5,9531
2.1,191744,5,1,6565
3.9,58107,3,2,14737
4.5,86763,2,5,7464
3.8,257521,3,3,10249
4.0,213052,4,4,7738
1.9,117943,2,4,8741
4.5,178837,3,4,9423
3.9,281616,2,3,2967
1.4,131485,3,5,8270
3.9,21399,5,3,13472
3.7,148489,3,5,10830
3.1,189399,5,4,10512
3.5,179107,2,3,6417
4.7,220366,5,1,8892
4.7,132200,2,1,12156
1.8,151249,4,1,7075
2.0,184695,5,1,5106
4.1,32602,3,4,9347
3.2,253611,2,4,8127
4.3,187223,5,3,11655
3.0,232438,3,3,4651
4.7,114139,5,4,12217
1.3,79437,4,4,8511
2.2,127801,5,5,9443
1.5,23115,2,1,7237
3.9,26930,3,3,11961
2.1,289967,4,3,6700
3.2,42064,2,3,6758
3.5,233614,4,2,10327
4.1,67072,4,3,17258
2.5,256380,2,1,8572
1.9,159546,2,4,5809
3.8,5877,5,5,13982
4.9,33244,2,2,11435
4.8,206381,4,4,8672
4.0,175833,3,5,10883
3.6,157073,2,1,6058
2.9,131766,2,3,12364
2.2,18630,3,5,6227
2.1,54522,3,5,11109
1.4,231290,3,3,6774
3.7,166776,2,2,6464
4.0,16302,5,2,8373
2.9,252824,3,1,7443
1.2,269614,3,4,4507
2.8,264697,2,5,3606
4.0,287926,5,2,6541
1.8,43196,5,2,6836
4.5,279971,3,1,3300
1.0,286745,2,5,2065
2.3,885,3,2,11682
3.5,93273,2,4,10634
3.7,110947,3,2,6781
1.2,166808,5,2,7363
3.8,186035,4,3,12279
1.0,68819,2,3,6223
3.7,157181,5,2,10056
3.9,97350,3,3,8153
3.5,271497,5,4,6970
4.3,225452,4,5,9790
3.8,51040,5,2,11379
4.2,7544,2,5,13749
2.6,264411,3,1,5111
4.3,153919,5,2,8921
1.7,115344,2,5,6493
2.9,106781,3,2,7564
1.0,279545,2,3,2809
1.7,11757,3,1,11564
2.4,230787,3,1,6084
3.7,216478,2,1,11970
2.6,134567,5,2,4908
4.5,162852,2,3,9142
3.9,112480,2,2,13650
1.9,60780,2,1,13384
3.2,21520,4,4,11969
2.1,199006,3,3,8819
2.0,11585,5,4,10168
2.8,79962,3,2,10000
3.9,95537,4,2,13789
4.3,229873,4,2,10102
1.3,195129,4,5,4297
4.0,136926,5,1,11161
3.2,85005,3,1,6499
2.7,172248,3,2,11955
4.3,179528,2,5,11409
2.3,1752,4,2,12564
3.2,25557,5,4,11188
3.9,211162,5,5,8376
4.0,182364,5,5,10152
1.6,112946,2,5,7941
2.1,122067,4,4,7958
3.5,296747,3,1,6065
2.8,23722,5,5,11825
1.8,161487,3,5,2670
4.1,99562,5,2,10408
1.9,107386,5,4,11252
4.0,32991,5,3,15240
1.7,156940,4,2,7761
2.2,87444,4,4,6651
1.4,232049,3,2,3559
1.2,114668,2,4,8206
4.8,297176,4,2,10056
4.1,138965,4,4,9720
4.4,251894,2,4,6762
2.8,174551,4,5,5208
3.0,260151,5,1,6696
2.8,253372,2,4,3632
1.9,99563,3,5,8008
3.9,267949,3,2,10341
4.6,79663,5,5,10106
3.5,85640,3,4,13287
4.4,1937,4,4,11261
3.2,253316,3,5,7933
3.2,203452,2,4,5330
4.2,181600,3,3,13268
2.9,296864,4,2,2000
1.4,262641,4,1,5447
4.7,222000,3,3,14760
4.6,98002,5,4,10039
3.4,131933,4,1,5861
4.6,287045,4,4,3259
2.5,215987,5,3,4680
2.8,201403,3,5,5571
3.9,263073,4,3,9038
4.4,91956,2,2,12960
1.3,197902,5,5,8741
1.0,107474,4,5,6250
1.1,178039,3,1,6439
4.0,84645,2,2,12607
4.1,118504,2,4,12829
2.7,217224,4,5,5155
2.6,118041,3,4,6439
4.3,186962,3,5,10660
1.3,78961,5,2,12720
1.0,296156,5,1,3176
2.0,232074,3,5,8658
2.3,38542,5,2,7929
2.9,295058,5,1,5598
2.2,262285,4,4,5954
3.9,225838,5,3,7883
3.0,230795,5,4,11884
2.5,94729,5,3,7105
3.1,282199,2,2,9656
2.6,282423,5,5,4351
4.0,191859,3,5,5462
2.2,256459,4,5,4870
2.1,74107,5,4,13017
3.9,230974,5,3,9080
1.7,56150,3,1,9477
4.7,256100,3,2,6678
2.7,9512,2,1,10909
4.8,80241,2,3,12095
4.7,150713,2,4,12085
1.7,207019,2,3,9059
3.2,163039,3,3,10939
2.0,145101,3,5,3197
1.4,278559,5,4,4728
4.2,269154,3,2,9516
2.3,62065,2,2,8158
1.9,52679,5,3,11846
1.0,177766,3,2,5744
1.6,158154,3,4,6636
1.3,52051,5,1,14158
1.5,117049,2,5,10159
1.8,271405,4,4,3971
2.6,260006,3,3,5499
1.7,234785,3,1,4704
1.6,222076,5,4,7458
1.8,194835,3,3,2603
2.0,145970,2,2,8580
1.4,30785,4,3,10684
3.7,57196,3,1,11156
4.0,50680,3,4,12786
4.7,230052,2,3,4498
4.2,273193,2,4,8536
4.4,169451,2,2,7010
2.2,286174,4,5,10076
4.9,242712,5,4,5345
3.4,227371,4,5,9152
1.7,79442,4,2,4811
3.2,29885,2,2,9702
4.3,261478,4,5,5570
1.2,170847,4,4,6383
4.1,87221,5,4,8755
2.9,217980,4,4,6840
4.1,71288,5,2,13274
4.5,91092,2,1,11578
4.4,24913,3,3,14001
4.2,155444,3,5,6191
2.5,171683,3,2,9366
4.8,295428,3,5,8991
3.9,207380,2,5,8352
1.5,89226,5,5,10915
4.6,79217,4,4,8415
3.3,297971,2,3,5940
3.5,178950,2,3,7321
3.4,148880,3,5,13122
1.7,23936,4,4,9221
2.1,68076,4,1,7438
2.9,144743,2,3,10105
4.4,90279,3,5,10894
2.5,56429,2,1,10871
2.9,1197,2,5,12676
1.9,200177,2,2,9796
3.0,5679,2,4,13586
3.3,14586,4,1,11408
3.6,202216,3,3,4955
4.8,249673,5,1,4506
1.7,39156,3,1,8316
4.5,68014,3,2,12239
2.4,126868,5,3,6362
3.0,258632,4,5,6927
4.3,201170,3,5,11676
2.9,13569,2,3,13428
2.1,191301,3,1,8373
4.4,169424,3,3,5711
2.9,63026,2,5,8739
4.8,145630,2,1,8287
3.7,44024,4,4,9319
1.2,122902,2,3,11441
4.0,92692,3,2,11846
2.9,22360,2,5,14052
3.4,53596,5,1,11828
3.6,45737,5,1,8785
3.0,98160,2,5,13636
4.0,253702,3,4,8425
1.5,94715,5,2,6505
1.4,1841,2,2,6963
1.6,109050,2,5,9819
4.4,236894,2,1,7162
4.4,256691,4,1,11666
1.6,235768,5,2,3784
4.4,88089,3,3,8638
3.8,160230,4,2,10295
1.1,233776,2,3,2000
1.3,117006,3,5,8559
4.7,295379,2,2,4392
2.5,299406,3,1,7311
1.4,182197,4,3,5156
1.4,235687,2,2,7286
1.6,293339,5,1,4833
3.5,79861,4,1,8402
1.9,288000,4,5,6240
1.6,295898,3,1,7882
2.5,239287,4,1,4314
4.4,7588,4,5,14648
3.4,152117,3,2,6557
4.4,195296,5,4,10294
4.4,191716,2,3,7965
3.6,230409,2,3,3091
1.1,106397,4,2,8772
3.7,295514,2,4,5989
3.1,232603,4,4,5347
2.5,18150,3,5,6237
1.8,222084,2,3,2958
3.7,59160,5,2,11416
2.3,73775,3,4,9724
2.4,89733,3,1,10305
2.6,11401,5,4,7071
4.4,233465,2,1,9530
4.3,240885,3,2,8382
3.5,25049,4,5,10899
2.0,110430,3,1,5791
3.7,205909,3,2,11081
1.4,161912,4,4,6561
3.6,54815,3,5,9703
3.3,128619,3,5,12527
4.0,121403,5,2,12371
4.2,253093,5,4,10938
4.8,97890,2,2,13542
1.2,157466,4,1,6950
3.6,168226,4,4,5535
1.2,275586,3,5,3988
1.9,50573,4,5,11488
2.6,219205,5,5,6115
2.7,1708,5,2,12665
3.6,244437,2,2,7911
2.1,134097,4,5,10318
1.1,98700,5,3,7226
1.6,78445,4,4,10531
3.6,93140,2,1,7137
3.0,288209,3,2,4635
4.4,282931,5,3,6541
3.0,242006,5,1,11659
4.6,272450,4,3,6051
4.4,54982,5,5,9500
1.2,53980,4,3,5120
1.6,84291,4,4,10714
3.1,264010,5,1,3519
1.7,54068,4,1,11718
4.4,253283,4,1,4034
1.1,1666,4,3,9666
2.8,128713,4,2,7825
2.9,155101,3,5,6597
3.1,153222,5,2,6235
3.0,140269,4,1,7494
4.6,48034,3,1,15839
1.7,197700,2,4,7446
1.3,130961,2,4,9780
1.5,204370,4,4,6212
1.9,103956,5,2,5420
3.0,86109,3,5,8577
1.7,264104,4,2,4817
2.1,1068,2,1,13378
3.1,202084,2,1,7858
4.5,78159,3,1,10636
2.7,188249,3,4,10135
3.6,252284,5,4,8954
4.8,120010,4,5,9799
4.8,77167,4,4,9456
3.0,226346,5,4,8873
4.1,35164,3,3,13196
4.3,147409,3,1,11951
3.6,292131,4,4,6657
1.6,285860,4,5,8282
2.3,112828,3,2,7643
3.5,225090,2,2,10998
2.5,235804,3,1,4783
4.7,18622,4,3,12527
1.8,38814,4,5,7423
2.3,64027,3,2,5419
2.7,155927,5,4,8581
3.5,181019,2,2,4979
3.8,91618,4,4,10267
2.6,234638,5,3,4207
4.4,213796,4,4,8524
4.5,242378,4,3,8152
3.4,68256,4,2,12634
4.9,4608,3,2,14507
4.7,262198,4,2,11256
3.7,203553,3,5,7928
1.4,252417,3,3,2551
3.9,42902,3,5,12641
4.8,116761,2,3,14564
2.7,181326,5,5,7673
4.1,286699,3,5,6866
3.8,149662,2,1,11306
4.7,213300,4,1,10234
2.0,125458,2,3,8090
2.5,61333,2,1,8673
3.8,103338,3,3,12033
1.9,44978,4,4,14300
2.5,119657,2,2,8306
2.2,106537,4,4,7069
2.8,228351,2,2,5832
1.0,156258,4,1,2974
3.6,233628,5,2,9627
2.9,238272,5,1,3234
2.0,280794,2,3,7384
2.6,14058,5,4,7918
3.3,274434,3,2,8311
3.2,60419,4,4,12091
5.0,98604,2,4,13427
1.6,133425,5,5,11431
4.2,271816,3,5,5063
2.9,247451,3,3,7750
4.7,85892,5,2,11282
3.1,252610,2,3,5947
1.3,282883,4,1,6742
2.7,109271,3,4,11614
2.0,119566,5,5,11608
3.0,54105,3,2,8717
2.4,103185,2,3,11436
1.8,227999,5,1,5340
1.1,141537,3,2,4869
2.8,250524,5,5,9989
1.7,163543,5,4,7629
2.7,283597,2,2,7428
3.6,79401,4,3,13911
3.4,125769,3,1,9084
4.1,67077,2,5,9558
2.3,76257,2,3,8974
1.2,220484,4,4,7390
4.7,155338,5,1,8693
3.1,135166,5,1,9796
2.4,22624,4,4,10247
3.2,106780,2,5,8264
2.3,40455,4,1,12690
1.1,261935,4,2,2061
2.2,164031,4,5,9519
4.8,108824,3,4,14623
4.3,67506,3,4,7349
1.5,198747,5,4,8025
1.3,189304,5,1,6313
3.1,171550,3,5,9469
4.8,49802,2,4,14703
4.9,32528,4,3,12149
3.3,252871,3,2,4442
3.6,37887,5,5,9942
1.5,243023,2,3,5139
5.0,125014,4,5,11399
2.0,225309,2,5,7193
1.5,19946,5,4,10801
1.5,34256,4,3,11714
2.1,48326,5,4,9333
3.9,22059,4,3,15458
3.1,82589,2,3,11848
3.5,254719,4,4,5005
2.8,22534,5,2,10049
3.3,105672,5,2,9986
3.5,184223,2,1,9815
3.4,66901,3,3,13261
2.8,277899,2,5,5542
4.5,93756,3,1,10724
3.8,159958,5,2,9700
2.7,130146,2,3,11697
3.4,184285,4,3,8914
1.1,221586,3,5,2068
2.1,40020,5,2,10399
3.3,201512,4,3,11969
1.3,180373,5,5,5992
4.7,114382,5,3,10712
1.9,211135,5,1,4177
2.0,118689,5,1,5826
3.4,149589,2,2,9608
1.4,84573,3,4,12408
1.8,149851,4,2,4102
2.4,122979,3,5,6140
1.6,180019,3,5,7499
4.7,107974,3,3,6940
2.2,17393,3,5,7852
2.6,74,2,2,8998
1.2,215776,4,4,8684
4.1,15423,4,3,15491
2.1,216808,5,1,6063
4.2,271492,5,3,6670
2.7,23058,2,3,14938
4.9,292193,5,2,9656
1.2,100045,5,5,9299
3.5,230823,3,5,9883
2.9,123389,4,4,13032
2.7,87168,5,3,12556
3.2,253949,5,1,7021
4.1,88202,2,5,6735
4.6,89735,5,5,10905
4.3,190674,4,1,9086
3.0,45399,3,1,8292
3.5,118075,2,3,9738
1.8,212962,2,4,10540
1.8,222734,3,4,2445
4.8,158249,2,2,9235
4.4,268020,5,1,5539
3.0,102552,3,3,11548
3.9,96421,4,5,10771
2.2,227142,5,3,9657
1.7,265079,4,4,2598
3.3,258462,4,4,4530
1.6,84889,4,3,8102
4.6,193427,3,1,13231
3.4,15353,3,4,15692
3.0,95078,5,2,13298
4.2,92303,4,1,8853
1.1,122843,2,5,6043
3.3,203140,3,1,6137
1.5,299007,2,2,7819
3.6,71037,2,2,7279
4.3,190312,5,2,9693
2.3,138463,5,1,6030
4.2,49206,5,5,11615
1.8,115364,2,1,8292
3.3,291239,5,2,9375
4.2,270079,5,2,2898
2.4,260513,4,5,5789
3.7,191330,5,2,8773
3.9,133300,4,1,13034
3.6,51251,5,5,13674
1.7,48231,5,2,11135
2.2,196832,3,1,9763
4.3,49540,4,2,14309
2.2,47950,3,1,13041
4.0,237177,2,4,7556
4.9,285572,2,4,6588
3.6,263823,5,4,7523
2.3,134572,4,1,11208
3.7,234754,2,2,10804
3.2,248880,5,5,10022
1.6,36425,3,4,7971
4.2,189692,3,5,6806
4.8,107723,2,3,9045
3.4,177464,4,3,10850
2.8,104757,3,5,8104
2.6,108462,2,1,13130
3.1,28342,3,5,15733
2.8,218978,2,1,9820
3.9,216924,5,3,11061
2.8,136710,5,1,10365
4.1,187046,2,3,4759
2.7,45510,2,3,9889
1.4,267644,3,3,2547
4.8,248863,2,1,6022
1.6,112224,2,1,11555
4.1,269110,5,5,7417
1.1,71600,2,2,8068
2.3,167084,3,4,11058
3.0,209783,2,4,9304
2.4,122782,5,3,7544
3.5,44918,4,3,14101
3.3,59350,5,1,10513
4.4,124854,4,2,9002
1.7,129658,4,2,4806
5.0,174286,4,1,12714
4.5,119948,3,3,10401
3.8,63543,5,1,6629
3.9,123959,2,3,7020
1.7,119413,3,3,10911
4.6,28405,5,4,12231
3.8,19071,3,1,12018
1.8,96482,5,5,9070
2.3,207427,4,5,8751
2.6,291400,5,2,4472
2.1,41573,5,4,13768
3.3,100141,2,3,8797
1.4,128584,3,5,6528
4.9,299066,4,3,5418
1.2,141943,4,1,5161
4.2,263711,3,2,9025
3.4,281978,3,2,7360
1.7,214459,5,1,4110
1.8,159351,2,3,5312
2.8,280108,5,3,2000
2.8,178509,4,4,7629
4.0,17140,5,2,8957
2.6,280103,4,5,7697
4.1,97971,5,1,12340
4.6,226022,3,3,10679
2.6,88330,2,4,7633
4.7,251019,2,3,9379
1.4,115527,4,1,10489
4.1,65158,3,1,15396
4.6,136182,3,2,9276
3.3,171346,2,1,10373
3.9,31189,3,3,12176
3.6,98479,3,2,11430
1.2,214493,5,3,7510
5.0,238324,5,2,11233
3.3,194043,3,4,3519
4.6,226584,2,4,11768
2.6,233248,5,1,9635
3.7,213520,4,3,9129
1.4,280967,2,3,7080
2.7,51538,2,2,8569
4.9,70195,2,2,7896
4.4,139468,5,4,11210
3.1,42542,2,4,8849
2.3,192030,4,1,9559
3.4,19096,3,2,15018
4.7,273477,4,4,3930
1.7,18936,2,4,9021
2.3,182780,2,2,5444
4.6,141392,3,5,13072
3.1,65564,2,4,8588
1.6,125535,4,3,10289
3.0,215571,3,5,5988
3.9,217374,2,4,11452
4.0,173201,4,2,8335
3.2,158300,3,2,9834
4.8,117267,2,4,14154
2.0,181881,5,5,8162
1.6,46400,3,3,11872
4.2,125377,4,1,7292
5.0,142084,3,2,11658
1.7,95579,3,3,8088
4.3,275483,4,1,3490
3.7,68962,4,5,9120
3.1,265548,5,4,5889
4.0,161451,5,5,10370
1.4,173573,4,4,8228
1.6,258410,3,1,8031
2.2,68474,3,1,12330
2.2,278555,2,3,3628
2.7,113357,3,4,10132
1.2,118189,5,2,9536
3.0,52129,4,4,11057
1.3,1213,4,5,12875
4.9,193478,2,4,8230
2.9,109544,3,4,6909
4.6,145259,2,3,12394
1.3,86670,2,4,10266
3.8,90870,3,5,14682
2.4,88040,3,2,9739
3.0,272439,3,3,5751
4.6,193942,3,1,10221
2.6,286546,4,4,4269
4.5,140691,3,1,10686
2.7,151802,5,4,10663
3.3,47107,2,5,11057
2.9,116244,2,2,9175
1.7,248675,3,2,6726
3.6,206061,4,5,11478
3.7,248288,5,1,4734
2.8,200179,2,3,9896
2.8,124896,4,3,7202
4.4,34683,2,5,12106
4.6,211540,2,3,8369
4.3,245144,5,1,9497
2.6,126424,2,5,7971
1.2,80455,4,4,9490
1.1,231642,4,1,8567
3.4,93978,4,2,10320
1.5,217997,5,4,2740
1.8,74195,2,1,9016
3.1,211305,3,3,10073
2.0,5196,4,3,11396
4.4,181485,4,3,10670
4.0,238714,5,2,10025
3.9,22645,2,4,11147
1.3,89321,4,4,8713
3.8,174202,5,4,11115
1.0,131850,3,4,12863
1.8,236758,5,5,3764
2.5,172033,4,2,8859
3.1,115640,4,1,12587
3.8,286873,5,1,6062
3.8,276633,5,5,9167
1.7,104572,4,1,9508
1.8,294977,4,2,3100
1.2,241090,2,4,7678
4.4,36711,2,4,13165
2.9,249910,5,3,7001
3.1,257380,3,2,6552
1.4,69339,5,4,5613
1.7,266758,4,2,4064
3.9,217728,3,5,8545
4.0,110440,4,1,13591
1.5,253722,2,2,8925
4.6,84861,5,4,10302
2.7,293857,5,5,3022
1.1,159120,4,1,9217
4.7,1565,2,2,12368
3.3,156438,4,4,9871
3.1,156278,2,5,12574
2.3,137767,3,5,13744
3.3,160346,2,5,10693
1.5,52952,2,3,12340
2.9,46588,2,5,12968
4.2,51622,5,2,15367
3.9,106704,5,4,12965
1.1,78434,2,2,7931
3.9,239992,3,2,6000
2.6,122433,3,3,9351
2.0,2587,4,5,7548
4.4,38437,4,3,11231
4.1,102784,5,3,10344
2.9,195789,3,4,6384
4.2,99794,3,5,11104
1.5,143174,2,4,6636
4.1,30639,2,2,13287
2.3,132009,5,3,10559
3.5,155375,2,4,9792
3.6,189756,3,3,6604
3.9,149067,2,2,8018
1.7,250370,3,4,7092
1.4,279321,5,5,8713
3.3,189540,4,4,8609
1.6,102680,4,4,6446
3.7,215906,4,2,9481
1.7,116977,2,5,4060
4.7,159236,5,2,10215
2.4,94705,2,4,10905
2.3,245073,4,5,8898
2.5,188803,5,1,10323
1.2,219120,3,4,2000
2.2,23277,4,2,7434
1.1,9177,3,2,12616
4.9,133103,4,4,7837
1.4,142293,4,3,4454
2.9,107147,3,5,11757
4.4,21303,3,1,8073
4.6,132791,4,3,12044
3.8,192356,5,2,6952
4.8,123019,5,4,8639
1.3,132831,5,4,8843
1.2,168167,4,4,4936
3.5,73222,4,2,8535
3.5,288094,5,5,6738
2.4,213779,5,1,2524
4.3,115707,4,2,11585
2.6,147066,2,2,9658
3.3,107566,3,5,11248
3.5,154437,2,4,6311
1.9,234775,3,4,6704
4.7,205900,3,3,10082
4.8,269373,4,1,5512
3.9,204351,5,3,6012
2.2,164580,3,1,4008
3.1,181002,5,2,9379
1.4,94143,4,4,9617
2.2,152845,2,4,6843
3.7,258070,3,3,7438
4.6,84915,2,1,13901
1.4,242946,3,3,3441
4.0,292289,3,1,6354
3.5,226627,2,1,11567
2.3,13991,5,5,12120
2.1,81075,2,2,7878
2.9,243002,4,5,3039
4.6,1828,4,3,10463
3.5,220377,5,3,12092
3.6,168817,5,2,8223
3.0,275218,2,4,10195
4.3,122264,3,2,14154
4.1,252722,3,5,5745
1.8,35772,3,2,11784
3.5,31683,3,4,10566
4.6,75917,3,5,15181
2.4,295350,4,2,6593
2.1,31523,4,3,11469
1.3,105616,4,1,8987
2.0,282282,2,3,5254
4.1,195365,5,2,8492
3.2,199087,2,1,11718
4.3,12893,3,5,11442
2.1,32116,5,2,11557
2.9,33860,5,3,11022
1.1,108748,5,2,7325
3.6,50457,2,4,15090
3.0,74605,4,2,9507
1.3,38154,2,5,8436
4.7,142336,5,1,11653
1.7,34257,4,3,11114
1.9,254344,5,2,10313
4.7,175723,2,5,9585
4.1,114178,2,2,8716
4.4,140127,2,1,12297
1.3,223511,3,3,4329
3.6,270713,5,2,4385
2.1,272064,4,5,7158
3.6,20269,3,4,14694
3.8,9334,2,3,13313
4.6,229372,5,4,5912
3.9,168409,4,4,7731
3.2,185737,4,3,12485
2.3,294137,5,2,8217
1.3,110457,5,1,9890
1.3,293472,3,5,5430
2.4,183600,2,3,7328
4.2,165301,3,5,5293
4.2,143752,4,5,13124
4.7,134772,3,5,10204
2.5,109284,4,5,14514
1.6,209035,4,1,7019
5.0,25556,4,3,14788
2.6,243874,5,2,3622
4.4,265121,3,4,7997
4.2,234547,3,4,4209
3.1,159076,4,4,13818
3.2,182989,3,5,5640
3.7,123113,5,2,10237
2.2,100395,3,5,8192
1.5,203048,3,1,8039
1.8,35261,3,2,6694
3.3,67635,3,5,6347
3.1,180328,4,3,10093
3.6,45675,2,5,10986
3.8,29401,2,2,12011
2.8,77212,3,5,7555
2.2,75720,4,2,9885
3.1,71671,5,2,8866
3.5,78887,5,2,10422
1.2,192340,4,4,6153
4.1,152256,2,5,14054
2.3,74681,5,5,10106
4.3,185991,2,1,6180
1.9,44251,2,1,8914
3.7,47895,3,4,12642
2.7,259113,4,5,8817
3.7,32555,2,5,13148
2.4,67824,4,3,9943
3.2,164751,3,1,10904
2.6,237726,4,4,7345
1.5,52702,4,5,8145
2.6,45977,3,2,14980
4.2,178945,2,3,10721
1.9,171558,5,4,6568
4.5,252022,4,3,11059
1.6,127245,3,2,8555
3.0,15859,4,1,7982
1.3,153775,3,2,2324
2.5,141571,3,2,6468
2.0,133496,4,3,6130
1.0,86948,2,4,10561
4.0,130322,2,2,10593
1.2,35966,5,1,6080
1.5,87042,2,1,8559
1.1,191414,5,5,5871
3.5,22926,2,2,14441
4.6,215539,2,3,6889
2.9,102120,4,1,15357
3.5,104158,2,1,11216
1.0,125565,4,5,10488
2.6,115468,5,1,11390
4.3,272444,4,3,5651
4.9,80026,2,1,13499
4.5,296388,5,5,8172
2.1,42708,2,4,13245
3.6,195923,3,1,12581
1.1,139145,5,3,6917
4.1,151476,4,4,14570
1.5,21286,2,5,12274
1.9,43830,4,1,9123
2.3,199111,2,5,10917
3.1,277051,2,5,9558
4.9,34163,4,1,13816
3.4,18840,4,3,13123
1.7,176497,5,4,4970
1.6,173372,3,3,8832
2.2,189275,5,3,6414
2.1,186020,2,3,9579
4.3,67800,3,1,9644
4.7,246105,4,5,9877
2.4,74584,2,3,8808
2.6,22008,5,1,8959
2.4,113841,2,2,10023
4.0,220438,5,5,11791
1.6,17635,4,3,5647
1.7,192210,2,3,6255
1.1,229045,3,4,4219
4.5,212772,5,4,7944
2.0,16802,4,2,8263
2.9,230715,5,1,4485
3.3,243809,3,4,8223
3.6,239634,5,4,9807
1.5,193396,4,3,3832
1.3,32171,2,3,7956
1.0,5854,2,2,7682
1.2,112247,2,4,5255
2.9,245873,5,5,4582
3.7,285532,3,3,8589
2.8,286407,2,4,6471
4.3,244059,4,2,7618
3.6,23912,3,3,12821
1.4,197380,3,3,4252
4.8,89572,3,4,15108
2.1,68443,4,4,10531
3.6,135336,4,1,10993
3.9,296964,3,3,7960
4.6,211939,4,3,5061
2.6,52223,2,4,11455
1.8,52377,2,1,12952
1.6,191705,3,5,5265
3.5,254631,3,3,9107
2.3,106773,3,1,7964
1.4,252576,5,1,2000
3.0,96622,3,3,11767
1.1,207352,4,1,9652
4.9,160297,2,5,15194
2.4,165104,4,2,9997
4.1,68269,2,3,16334
4.9,21795,5,5,14164
1.8,207306,4,5,8753
3.9,44392,4,5,15112
3.0,60169,4,1,10396
4.4,26960,3,3,9460
4.5,65889,4,5,15682
1.2,169281,5,2,5714
2.3,45361,5,3,10692
4.7,238219,3,2,5835
3.3,255971,4,1,4980
3.9,69232,5,5,9015
2.0,204272,3,4,5714
2.2,190504,3,2,7189
2.4,165233,5,3,10095
1.8,28207,5,5,13835
2.0,46948,3,3,9661
3.5,169471,2,3,6710
1.7,11898,5,4,9362
1.9,195310,4,3,8893
3.9,106697,4,2,10866
1.6,84040,2,5,4919
2.2,282955,2,4,5440
4.3,28584,4,5,10628
1.4,175448,4,3,7491
2.1,170511,5,1,3389
2.4,224572,5,2,8908
3.5,2178,4,1,12256
3.6,183050,2,2,8439
4.7,74835,3,5,13503
2.4,53775,4,1,10924
3.1,287293,4,3,5654
